time,phase_A,phase_B,phase_C
1.1500000000000001,2.8216954562235186,3.04375596891989,3.6075485748565925
1.16,2.8389299700126833,3.0569639168672227,3.607306113120095
1.17,2.8560360548871646,3.070113453289479,3.607250491823357
1.18,2.873015081828627,3.083204673348969,3.607380244822405
1.19,2.8898684525936598,3.0962377601397937,3.6076937872665473
1.2,2.9065975974313227,3.1092129776787663,3.6081894248899116
1.21,2.9232039728040484,3.122130664201869,3.608865362994083
1.22,2.9396890591226117,3.1349912257698658,3.609719715107523
1.23,2.956054358504834,3.1477951301843516,3.6107505113108154
1.24,2.9723013925666697,3.1605429012134403,3.611955706219891
1.25,2.988431700253341,3.173235113124457,3.6133331866222034
1.26,3.0044468357172494,3.1858723855193993,3.614880778763353
1.27,3.020348366248511,3.1984553784675445,3.6165962552839463
1.28,3.036137870263117,3.210984787928398,3.618477341808487
1.29,3.051816935352941,3.2234613414571966,3.6205217231898645
1.3,3.0673871564010784,3.235885794184355,3.6227270494145687
1.31,3.0828501337653345,3.2482589250595937,3.625090941175074
1.32,3.098207471532038,3.260581533350981,3.6276109951169833
1.33,3.1134607758417987,3.2728544353887377,3.6302847887694654
1.34,3.1286116532883,3.2850784615433994,3.633109885168302
1.35,3.14366170939074,3.2972544534277737,3.636083837181488
1.36,3.1586125471401165,3.3093832613120644,3.6392041915478206
1.37,3.173465765619169,3.3214657417415645,3.6424684926392676
1.3800000000000001,3.1882229586954485,3.3335027553463905,3.645874285958162
1.3900000000000001,3.202885713786686,3.345495164832897,3.649419121380418
1.4000000000000001,3.217455610697379,3.3574438331465983,3.6531005561560237
1.41,3.2319342205252775,3.36934962179667,3.656916157678054
1.42,3.2463231046362595,3.381213389332382,3.6608635060313595
1.43,3.2606238137059287,3.3930359899621205,3.6649401963319517
1.44,3.274837886826117,3.404818272305972,3.669143840867912
1.45,3.2889668506743726,3.4165610782732108,3.673472071052418
1.46,3.303012218744418,3.428265242056356,3.6779225391992276
1.47,3.3169754906355005,3.4399315892338564,3.682492920130645
1.48,3.3308581513984947,3.451560935973807,3.6871809126277
1.49,3.344661670936598,3.463154088331476,3.691984240731928
1.5,3.358387503458427,3.474711841633794,3.6969006549077816
1.51,3.3720370869813263,3.4862349799442964,3.70192793307438
1.52,3.3856118428827022,3.4977242756023954,3.7070638815149053
1.53,3.3991131754972104,3.509180488831166,3.712306335671627
1.54,3.4125424717576527,3.520604367408204,3.7176531608341463
1.55,3.4259011008774705,3.5319966463944112,3.723102252728121
1.56,3.4391904140727565,3.5433580479158953,3.728651538011351
1.57,3.452411744321761,3.5546892809944626,3.73429897468378
1.58,3.465566406159906,3.5659910414224845,3.7400425524176124
1.59,3.478655695508387,3.577264011678182,3.7458802928134336
1.6,3.4916808895344817,3.58850886087765,3.7518102495878707
1.61,3.504643246541759,3.5997262447601854,3.7578305086980577
1.62,3.5175440058884355,3.610916805703731,3.763939188407836
1.6300000000000001,3.5303843879321817,3.622081172767464,3.7701344393003566
1.6400000000000001,3.5431655939997575,3.633219961758786,3.7764144442414587
1.6500000000000001,3.555888806379903,3.644333775322156,3.7827774182979432
1.6600000000000001,3.5685551883379834,3.6554232030474174,3.7892216086146013
1.67,3.581165884150947,3.666488821595436,3.795745294253619
1.68,3.5937220191612145,3.6775311948390406,3.8023467859997466
1.69,3.6062246998481804,3.6885508740174155,3.8090244261344055
1.7,3.6186750139160693,3.6995483979022428,3.8157765881816896
1.71,3.6310740303969418,3.710524292974026,3.822601676629034
1.72,3.643422799767712,3.7214790736071666,3.829498126625123
1.73,3.6557223540800843,3.7324132422624743,3.836464403657443
1.74,3.667973707102376,3.743327289685913,3.8434990032117127
1.75,3.6801778544722503,3.7542216951124816,3.8506004504152695
1.76,3.692335773859422,3.765096926474239,3.8577672996663406
1.77,3.7044484251374596,3.7759534406115534,3.8649981342509885
1.78,3.7165167505638523,3.786791683486762,3.872291565949387
1.79,3.7285416749675484,3.797612090399488,3.879646234632965
1.8,3.7405241059432264,3.8084150862029413,3.8870608078538336
1.81,3.7524649340515976,3.819201085520596,3.894533980427808
1.82,3.7643650330250744,3.8299704929626954,3.902064474012232
1.83,3.7762252599781894,3.8407237033420976,3.909651036679715
1.84,3.7880464556221733,3.85146110188902,3.917292442488809
1.85,3.799829444483148,3.8621830644642956,3.924987491052559
1.86,3.811575035123414,3.872889957770794,3.9327350071057943
1.87,3.823284020365354,3.8835821395627015,3.940533840071947
1.8800000000000001,3.8349571775174947,3.8942599588523925,3.948382863630115
1.8900000000000001,3.846595268602308,3.9049237561146595,3.956280975283035
1.9000000000000001,3.858199040585353,3.9155738634880968,3.964227095926553
1.9100000000000001,3.869769225605388,3.9262106049734653,3.972220169421149
1.92,3.8813065412051184,3.9368342966288883,3.980259162165996
1.93,3.8928116905622447,3.947445246761753,3.988343062676005
1.94,3.904285362720525,3.9580437561172186,3.9964708811622587
1.95,3.9157282328205714,3.968630118063242,4.004641649116189
1.96,3.9271409623301254,3.979204618772056,4.01285441889782
1.97,3.938524199273573,3.989767537398054,4.021108263328375
1.98,3.949878578460481,4.00031914625204,4.029402275287482
1.99,3.961204721712958,4.010859710971823,4.037735567315222
2.0,3.972503238091645,4.021389490689149,4.046107271219208
2.0100000000000002,3.983774724120177,4.031908738192963,4.054516537686862
2.02,3.995019764007944,4.042417700089015,4.0629625359030435
2.0300000000000002,4.006238929871025,4.0529166169558195,4.071444453173157
2.04,4.017432781951156,4.063405723497012,4.079961494551835
2.05,4.0286018688326095,4.073885248690106,4.088512882477288
2.06,4.039746727656896,4.084355415931708,4.097097856411399
2.07,4.050867884335166,4.094816443179232,4.105715672485605
2.08,4.061965853758257,4.105268543089139,4.114365603152607
2.09,4.073041140004272,4.115711923151781,4.1230469368439495
2.1,4.084094236543659,4.126146785822879,4.1317589776334644
2.11,4.095125626441699,4.1365733286517035,4.140501044906601
2.12,4.106135782558372,4.14699174440601,4.14927247303562
2.13,4.117125167745546,4.157402221193794,4.158072611060661
2.14,4.128094235041447,4.167804942581927,4.166900822376628
2.15,4.139043427862387,4.178200087711723,4.175756484425891
